Pollutant,LAT,LONG
NO2,17.4025,78.2975
NO2,17.4625,78.3075
NO2,17.4575,78.30251
NO2,17.4775,78.3325
NO2,17.2325,78.9575
NO2,17.5125,78.3375
NO2,17.4025,78.3275
NO2,17.5725,78.42751
NO2,17.5575,78.42751
NO2,17.5525,78.4325
NO2,17.5375,78.41251
NO2,17.5325,78.5825
NO2,17.5575,78.4025
NO2,17.5725,78.4325
NO2,17.5375,78.4175
NO2,17.2325,78.9225
NO2,17.5425,78.4175
NO2,17.2325,78.92751
NO2,17.5725,78.4225
NO2,17.5375,78.3875
NO2,17.5375,78.4025
NO2,17.4675,78.7975
NO2,17.5575,78.4325
NO2,17.5525,78.4375
NO2,17.5425,78.6125
NO2,17.4025,78.3225
NO2,17.5275,78.5325
NO2,17.5575,78.3975
NO2,17.4125,78.3225
NO2,17.5575,78.3625
NO2,17.4725,78.2975
NO2,17.4725,78.30251
NO2,17.4825,78.3475
NO2,17.5575,78.4375
O3,17.4175,78.3225
O3,17.3225,78.41251
O3,17.3825,78.3425
O3,17.3925,78.3275
O3,17.3375,78.4075
O3,17.3775,78.3225
O3,17.3525,78.4075
O3,17.3175,78.41251
O3,17.4225,78.3225
O3,17.4225,78.3175
O3,17.3325,78.41251
O3,17.3275,78.41251
O3,17.3375,78.4175
O3,17.4275,78.3075
O3,17.3875,78.3425
O3,17.3575,78.4075
O3,17.3375,78.41251
O3,17.3825,78.3375
O3,17.3425,78.41251
O3,17.4225,78.3275
O3,17.5425,78.4925
O3,17.3875,78.3175
O3,17.4275,78.3125
O3,17.3925,78.3325
O3,17.3725,78.3225
O3,17.5225,78.3625
O3,17.3425,78.5825
O3,17.4275,78.3225
O3,17.3325,78.4325
O3,17.4125,78.3225
O3,17.3925,78.3175
O3,17.4125,78.3325
O3,17.3725,78.3425
O3,17.3775,78.3275
O3,17.3575,78.5775
O3,17.3825,78.3225
O3,17.4025,78.3275
O3,17.4175,78.3275
O3,17.3225,78.4075
O3,17.3725,78.3475
O3,17.3475,78.4075
O3,17.3825,78.3325
O3,17.3475,78.41251
O3,17.2975,78.3775
O3,17.3925,78.3225
O3,17.3825,78.3275
O3,17.5075,78.2925
O3,17.4125,78.3175
O3,17.3025,78.41251
O3,17.3175,78.4075
O3,17.5375,78.4925
O3,17.4275,78.3175
O3,17.4825,78.2975
O3,17.3375,78.4025
O3,17.3775,78.3325
O3,17.3775,78.3425
O3,17.3975,78.3275
O3,17.3325,78.4075
O3,17.4025,78.3225
O3,17.3425,78.4075
O3,17.2925,78.4325
O3,17.5275,78.4725
O3,17.3875,78.3275
O3,17.4175,78.3325
O3,17.3275,78.4025
O3,17.3975,78.3175
O3,17.3175,78.4175
O3,17.5275,78.5225
O3,17.4125,78.3275
O3,17.2875,78.4325
O3,17.3825,78.3475
O3,17.5275,78.4925
O3,17.3025,78.4175
O3,17.3275,78.4075
O3,17.3575,78.4025
O3,17.3875,78.3225
O3,17.2875,78.4225
O3,17.3575,78.5825
O3,17.2975,78.41251
O3,17.2875,78.42751
O3,17.4075,78.3275
O3,17.4325,78.3125
O3,17.5375,78.4725
O3,17.4325,78.3175
O3,17.4025,78.35751
O3,17.3625,78.4075
O3,17.3875,78.3475
O3,17.3175,78.37251
O3,17.4775,78.2975
O3,17.5375,78.4625
O3,17.3625,78.5925
O3,17.3775,78.3475
O3,17.4775,78.30251
O3,17.4075,78.3325
O3,17.4125,78.3375
O3,17.5925,78.3825
O3,17.2875,78.4075
O3,17.2875,78.41251
O3,17.5325,78.4725
O3,17.5225,78.4925
O3,17.2925,78.4075
O3,17.3625,78.4025
O3,17.5725,78.3325
O3,17.3325,78.4375
O3,17.3725,78.3525
O3,17.3975,78.3225
O3,17.5925,78.3875
O3,17.6025,78.5675
O3,17.5425,78.4625
O3,17.3975,78.35751
O3,17.3625,78.5875
O3,17.5375,78.41251
O3,17.5025,78.30251
O3,17.3675,78.3475
O3,17.4275,78.6125
O3,17.3525,78.4025
O3,17.2875,78.4175
O3,17.4575,78.30251
O3,17.2925,78.53751
O3,17.4725,78.30251
O3,17.5325,78.4925
O3,17.5125,78.3475
O3,17.5375,78.4675
O3,17.2925,78.4225
O3,17.3425,78.6275
O3,17.3825,78.3525
O3,17.5375,78.4025
O3,17.2775,78.41251
O3,17.3275,78.37251
O3,17.5175,78.4875
O3,17.5275,78.4875
O3,17.6275,78.0875
O3,17.2925,78.42751
O3,17.2575,78.4675
O3,17.5325,78.4675
O3,17.3475,78.4025
O3,17.3175,78.4025
O3,17.2975,78.42751
O3,17.5125,78.3425
O3,17.5925,78.3925
O3,17.2875,78.4375
O3,17.4875,78.3075
O3,17.3575,78.5725
O3,17.5175,78.4925
O3,17.5125,78.3375
O3,17.2825,78.41251
O3,17.5375,78.3975
O3,17.5425,78.4025
O3,17.2825,78.4075
O3,17.3575,78.5875
O3,17.4625,78.30251
O3,17.2825,78.4175
O3,17.4675,78.7525
O3,17.3625,78.5975
O3,17.5375,78.5175
O3,17.4225,78.6125
O3,17.4075,78.3425
O3,17.3125,78.5775
